,name,tag
0,ACS,acs
1,Abengoa,abengoa
2,Atresmedia,atresmedia
3,Acerinox,acerinox
4,BBVA,bbva
5,Bankinter,bankinter
6,BME,bme
7,Acciona,acciona
8,Caixabank,caixabank
9,Enagás,enagas
10,FCC,fcc
11,Naturgy Energy,naturgy-energy
12,Siemens Gamesa,siemens-gamesa
13,Grifols,grifols
14,Ferrovial,ferrovial
15,Red Eléctrica,red-electrica
16,Inditex,inditex
17,Repsol,repsol
18,Iberdrola,iberdrola
19,Banco Popular,banco-popular
20,Indra,indra
21,Mapfre,mapfre
22,Telefónica,telefonica
23,Mediaset,mediaset
24,Sacyr,sacyr
25,Banco Sabadell,banco-sabadell
26,Santander,santander
27,Colonial,colonial
28,Técnicas Reunidas,tecnicas-reunidas
29,OHL,ohl
30,IAG,iag
31,Ebro Foods,ebro-foods
32,Endesa,endesa
33,Amadeus,amadeus
34,Bankia,bankia
35,DIA,dia
36,Vértice 360,vertice-360
37,Rovi,rovi
38,GAM,gam
39,Solaria,solaria
40,Papeles Y Cartones,papeles-y-cartones
41,Airtificial Intelligence,airtificial-intelligence
42,Alantra Partners,alantra-partners
43,Alba SA,alba-sa
44,PRISA,prisa
45,Meliá Hotels,melia-hotels
46,Empresarial San Jose,empresarial-san-jose
47,Nueva Expresion,nueva-expresion
48,Audax Renovables,audax-renovables
49,Adveo Group,adveo-group
50,Miquel y Costas,miquel-y-costas
51,Catalana Occidente,catalana-occidente
52,Service P.S.,service-p.s.
53,ENCE,ence
54,Construcciones y Auxiliar,construcciones-y-auxiliar
55,Urbas,urbas
56,Insur,insur
57,Quabit,quabit
58,Lingotes Especiales,lingotes-especiales
59,Iberpapel,iberpapel
60,Bodegas Riojanas,bodegas-riojanas
61,Adolfo Domínguez,adolfo-dominguez
62,Realia,realia
63,Nyesa Valores Corp,nyesa-valores-corp
64,Clínica Baviera,clinica-baviera
65,Reno De Medici,reno-de-medici
66,Nicolás Correa,nicolas-correa
67,Cie Automotive,cie-automotive
68,Renta 4,renta-4
69,Reig Jofre,reig-jofre
70,Ezentis,ezentis
71,Duro Felguera,duro-felguera
72,Zardoya,zardoya
73,Barón de Ley,baron-de-ley
74,Montebalito,montebalito
75,Metrovacesa,metrovacesa
76,NH Hoteles,nh-hoteles
77,Faes Farma,faes-farma
78,Tubos Reunidos,tubos-reunidos
79,Pescanova,pescanova
80,Grifols Pref,grifols-pref
81,Biosearch,biosearch
82,Viscofan,viscofan
83,Prosegur,prosegur
84,Almirall,almirall
85,Vocento,vocento
86,Vidrala,vidrala
87,Empresarial Materiales,empresarial-materiales
88,Tubacex,tubacex
89,Renta Corp.,renta-corp.
90,Fluidra,fluidra
